nombre campaña,fecha inicio,fecha fin,inversión,retorno inversión,tipo,audiencia target,canal,ratio conversión,facturación,duración días,categoría duración,beneficio neto,campaña exitosa,categoría inversión,categoría beneficio
Business-focused foreground budgetary management,2023-06-14,2023-12-10,"43.226,59","0,95",social media,B2B,referral,"0,53","573.462,79",179.0,corta,"530.236,20",Sí,medio,medio
Stand-alone multi-tasking methodology,2022-11-02,2024-05-03,"84.506,27","0,80",podcast,B2C,organic,"0,63","375.663,38",548.0,larga,"291.157,11",Sí,alto,bajo
Proactive eco-centric process improvement,2023-01-08,2023-12-27,"36.457,88","0,28",social media,B2B,organic,"0,73","905.182,53",353.0,media,"868.724,65",Sí,medio,alto
Digitized human-resource knowledge user,2023-02-04,2024-01-25,"10.038,96","0,36",podcast,B2B,promotion,"0,70","911.686,87",355.0,media,"901.647,91",Sí,bajo,alto
Ergonomic next generation hub,2022-12-18,2024-01-27,"27.079,85","0,32",social media,B2C,referral,"0,30","784.636,20",405.0,media,"757.556,35",Sí,bajo,alto
Realigned radical hardware,2022-11-03,2024-07-12,"34.512,86","0,20",webinar,B2B,referral,"0,87","999.712,49",617.0,larga,"965.199,63",Sí,bajo,alto
Grass-roots national approach,2022-08-29,2024-03-21,"16.063,49","0,99",email,B2B,promotion,"0,69","868.083,16",570.0,larga,"852.019,67",Sí,bajo,alto
Synergistic mobile task-force,2022-11-02,2023-11-20,"61.343,20","0,91",social media,B2B,referral,"0,73","943.514,25",383.0,media,"882.171,05",Sí,alto,alto
Customer-focused fault-tolerant help-desk,2022-10-08,2023-12-25,"39.585,98","0,11",podcast,B2B,promotion,"0,99","889.037,24",443.0,media,"849.451,26",Sí,medio,alto
Face-to-face 6thgeneration portal,2023-05-08,2023-09-05,"99.535,21","0,59",social media,B2B,paid,"0,15","142.678,88",120.0,corta,"43.143,67",Sí,alto,bajo
Ameliorated encompassing capacity,2023-02-19,2024-07-28,"44.466,83","0,15",webinar,B2B,promotion,"0,31","504.690,83",525.0,larga,"460.224,00",Sí,medio,medio
Digitized optimizing capability,2022-08-25,2023-10-12,"70.841,82","0,22",podcast,B2C,paid,"0,76","406.913,89",413.0,media,"336.072,07",Sí,alto,bajo
Triple-buffered zero tolerance circuit,2023-04-27,2024-03-18,"62.752,63","0,30",podcast,B2C,paid,"0,32","307.410,29",326.0,media,"244.657,66",Sí,alto,bajo
Open-source background firmware,2023-07-04,2024-04-09,"97.748,20","0,73",email,B2C,referral,"0,96","543.371,38",280.0,media,"445.623,18",Sí,alto,medio
Expanded global matrices,2022-11-28,2024-04-16,"67.048,32","0,78",webinar,B2B,organic,"0,42","246.285,96",505.0,larga,"179.237,64",Sí,alto,bajo
Organized regional implementation,2023-02-13,2023-12-31,"34.303,92","0,13",webinar,B2C,paid,"0,48","420.804,86",321.0,media,"386.500,94",Sí,bajo,medio
Realigned stable parallelism,2023-03-31,2024-01-18,"52.871,17","0,19",webinar,B2B,promotion,"0,53","611.779,70",293.0,media,"558.908,53",Sí,medio,medio
Networked executive knowledgebase,2022-10-18,2023-08-19,"53.678,65","0,47",email,B2B,promotion,"0,24","129.992,90",305.0,media,"76.314,25",Sí,medio,bajo
Multi-tiered neutral standardization,2023-05-09,2023-11-26,"21.921,72","0,74",webinar,B2C,organic,"0,55","721.273,96",201.0,corta,"699.352,24",Sí,bajo,alto
Virtual cohesive orchestration,2023-03-11,2023-08-21,"98.706,34","0,69",email,B2C,promotion,"0,92","499.658,40",163.0,corta,"400.952,06",Sí,alto,medio
Progressive 4thgeneration policy,2022-10-06,2024-04-20,"16.290,70","0,49",webinar,B2C,promotion,"0,99","172.899,70",562.0,larga,"156.609,00",Sí,bajo,bajo
Monitored impactful installation,2023-07-28,2023-11-25,"24.936,91","0,90",webinar,B2B,promotion,"0,37","541.332,72",120.0,corta,"516.395,81",Sí,bajo,medio
Automated responsive initiative,2022-08-30,2024-05-12,"20.401,62","0,60",podcast,B2B,paid,"0,28","875.354,92",621.0,larga,"854.953,30",Sí,bajo,alto
Function-based grid-enabled conglomeration,2022-12-06,2024-05-03,"33.675,46","0,18",email,B2B,promotion,"0,89","203.504,87",514.0,larga,"169.829,41",Sí,bajo,bajo
Polarized dynamic analyzer,2023-06-27,2024-07-26,"87.618,40","0,97",podcast,B2C,promotion,"0,50","274.321,91",395.0,media,"186.703,51",Sí,alto,bajo
Centralized methodical alliance,2023-07-19,2024-02-11,"33.524,69","0,60",podcast,B2C,paid,"0,19","970.610,35",207.0,corta,"937.085,66",Sí,bajo,alto
Visionary directional open architecture,2023-05-02,2024-05-29,"86.623,59","0,26",webinar,B2C,organic,"0,23","107.133,96",393.0,media,"20.510,37",Sí,alto,bajo
Reduced static functionalities,2023-03-09,2024-01-08,"8.473,58","0,29",social media,B2B,organic,"0,93","840.891,99",305.0,media,"832.418,41",Sí,bajo,alto
Sharable upward-trending initiative,2022-10-23,2024-04-09,"20.951,30","0,58",social media,B2C,organic,"0,24","994.306,41",534.0,larga,"973.355,11",Sí,bajo,alto
Front-line eco-centric open system,2023-06-16,2024-07-06,"36.331,80","0,90",social media,B2B,promotion,"0,76","622.639,37",386.0,media,"586.307,57",Sí,medio,medio
Managed bandwidth-monitored complexity,2023-03-21,2024-04-04,"19.401,94","0,92",email,B2B,organic,"0,25","617.007,90",380.0,media,"597.605,96",Sí,bajo,alto
Re-engineered non-volatile algorithm,2023-03-04,2023-11-06,"59.532,42","0,70",webinar,B2B,paid,"0,90","773.688,33",247.0,corta,"714.155,91",Sí,alto,alto
Integrated secondary migration,2023-01-04,2024-04-26,"98.089,92","0,33",webinar,B2C,paid,"0,22","522.231,68",478.0,larga,"424.141,76",Sí,alto,medio
Horizontal 6thgeneration model,2022-11-19,2023-10-29,"16.308,37","0,65",webinar,B2C,promotion,"0,37","511.344,87",344.0,media,"495.036,50",Sí,bajo,medio
Robust optimizing projection,2023-06-12,2023-11-06,"36.824,24","0,93",email,B2B,promotion,"0,42","971.476,94",147.0,corta,"934.652,70",Sí,medio,alto
Right-sized scalable open architecture,2023-02-06,2023-12-24,"62.406,71","0,30",webinar,B2B,promotion,"0,67","123.917,89",321.0,media,"61.511,18",Sí,alto,bajo
Optional mission-critical project,2022-08-06,2024-07-22,"96.713,47","0,92",podcast,B2C,paid,"0,63","995.340,62",716.0,larga,"898.627,15",Sí,alto,alto
Focused responsive open architecture,2022-11-09,2024-01-28,"91.490,92","0,93",webinar,B2C,referral,"0,95","38.601,99",445.0,media,"-52.888,93",No,alto,bajo
Reverse-engineered static infrastructure,2023-07-26,2024-05-29,"12.246,32","0,48",email,B2B,referral,"0,44","987.205,29",308.0,media,"974.958,97",Sí,bajo,alto
Monitored grid-enabled productivity,2023-01-08,2024-06-07,"29.724,33","0,61",podcast,B2C,promotion,"0,27","961.419,64",516.0,larga,"931.695,31",Sí,bajo,alto
Cross-group foreground ability,2023-03-11,2023-11-27,"32.343,79","0,99",social media,B2B,paid,"0,50","55.043,59",261.0,corta,"22.699,80",Sí,bajo,bajo
Switchable mobile toolset,2023-06-25,2024-04-16,"59.590,26","0,83",podcast,B2B,referral,"0,99","574.709,76",296.0,media,"515.119,50",Sí,alto,medio
Front-line mobile ability,2022-11-12,2023-08-18,"77.582,36","0,65",podcast,B2C,promotion,"0,47","428.175,90",279.0,media,"350.593,54",Sí,alto,bajo
Optional systemic adapter,2022-12-15,2023-12-16,"23.477,60","0,26",email,B2B,paid,"0,34","219.063,70",366.0,media,"195.586,10",Sí,bajo,bajo
User-friendly responsive parallelism,2022-10-31,2024-05-08,"9.666,13","0,86",email,B2C,referral,"0,65","53.039,92",555.0,larga,"43.373,79",Sí,bajo,bajo
Mandatory grid-enabled throughput,2023-06-07,2023-08-06,"63.938,71","0,00",email,B2C,referral,"0,49","890.569,79",60.0,corta,"826.631,08",Sí,alto,alto
Phased dynamic throughput,2023-07-07,2023-12-31,"44.248,38","0,40",webinar,B2B,paid,"0,65","313.395,54",177.0,corta,"269.147,16",Sí,medio,bajo
Pre-emptive mobile Local Area Network,2023-05-07,2024-02-13,"97.083,41","0,77",podcast,B2B,promotion,"0,25","378.325,10",282.0,media,"281.241,69",Sí,alto,bajo
Decentralized zero-defect superstructure,2022-10-18,2023-10-03,"18.706,92","0,58",webinar,B2B,referral,"0,44","554.902,17",350.0,media,"536.195,25",Sí,bajo,medio
Distributed grid-enabled focus group,2022-10-10,2023-10-12,"92.742,90","0,55",webinar,B2B,organic,"0,33","755.802,41",367.0,media,"663.059,51",Sí,alto,alto
Monitored global leverage,2023-03-10,2024-04-26,"14.418,29","0,47",email,B2B,promotion,"0,67","683.612,91",413.0,media,"669.194,62",Sí,bajo,alto
Secured exuding hardware,2022-08-17,2024-04-13,"55.644,28","0,41",podcast,B2C,referral,"0,68","764.211,61",605.0,larga,"708.567,33",Sí,medio,alto
Re-engineered content-based projection,2023-06-23,2024-05-03,"49.973,41","0,32",podcast,B2B,promotion,"0,40","305.097,18",315.0,media,"255.123,77",Sí,medio,bajo
Compatible explicit hierarchy,2022-10-06,2024-05-27,"52.495,87","0,50",webinar,B2B,promotion,"0,56","375.558,47",599.0,larga,"323.062,60",Sí,medio,bajo
Reduced holistic groupware,2023-05-22,2023-08-13,"22.905,15","0,85",podcast,B2C,paid,"0,20","923.669,92",83.0,corta,"900.764,77",Sí,bajo,alto
Organic national application,2023-03-01,2023-11-20,"70.871,65","0,50",email,B2C,organic,"0,46","193.601,52",264.0,corta,"122.729,87",Sí,alto,bajo
Configurable multi-tasking projection,2022-12-07,2023-08-07,"91.280,14","0,71",social media,B2B,paid,"0,24","764.420,89",243.0,corta,"673.140,75",Sí,alto,alto
Open-source zero-defect groupware,2022-08-22,2024-02-26,"43.142,37","0,65",webinar,B2C,referral,"0,90","770.745,63",553.0,larga,"727.603,26",Sí,medio,alto
Extended multi-tasking focus group,2023-07-13,2023-11-11,"90.807,23","0,44",email,B2B,referral,"0,76","153.622,70",121.0,corta,"62.815,47",Sí,alto,bajo
Reverse-engineered 4thgeneration adapter,2023-01-01,2024-04-15,"32.622,80","0,65",podcast,B2C,promotion,"0,30","568.194,20",470.0,larga,"535.571,40",Sí,bajo,medio
Open-source heuristic methodology,2023-06-04,2023-10-18,"25.277,14","0,34",email,B2C,organic,"0,92","49.060,75",136.0,corta,"23.783,61",Sí,bajo,bajo
Diverse interactive functionalities,2023-06-07,2023-10-09,"84.489,59","0,13",social media,B2B,promotion,"0,83","786.673,54",124.0,corta,"702.183,95",Sí,alto,alto
Ameliorated leadingedge moratorium,2022-12-17,2024-06-11,"28.928,55","0,60",email,B2C,referral,"0,12","130.083,15",542.0,larga,"101.154,60",Sí,bajo,bajo
Distributed web-enabled matrix,2023-01-21,2024-03-22,"9.774,56","0,34",email,B2B,paid,"0,60","918.275,49",426.0,media,"908.500,93",Sí,bajo,alto
Horizontal full-range complexity,2022-08-06,2023-08-31,"59.889,62","0,83",webinar,B2C,referral,"0,85","142.978,25",390.0,media,"83.088,63",Sí,alto,bajo
Re-engineered optimizing definition,2023-04-18,2023-10-09,"90.656,10","0,94",podcast,B2C,organic,"0,56","886.308,94",174.0,corta,"795.652,84",Sí,alto,alto
Horizontal regional implementation,2023-05-31,2024-02-21,"84.627,74","0,95",podcast,B2C,paid,"0,75","731.870,88",266.0,corta,"647.243,14",Sí,alto,alto
Robust eco-centric service-desk,2023-03-03,2023-12-01,"61.961,66","0,90",webinar,B2B,organic,"0,81","794.739,96",273.0,media,"732.778,30",Sí,alto,alto
Expanded radical array,2023-07-27,2024-02-11,"67.729,90","0,27",webinar,B2B,promotion,"0,44","911.554,74",199.0,corta,"843.824,84",Sí,alto,alto
Cross-group interactive matrix,2022-12-02,2023-09-18,"53.669,55","0,34",podcast,B2B,paid,"0,22","650.057,57",290.0,media,"596.388,02",Sí,medio,alto
Digitized full-range moderator,2023-05-07,2023-12-14,"45.957,86","0,60",podcast,B2B,referral,"0,57","941.547,97",221.0,corta,"895.590,11",Sí,medio,alto
Programmable dedicated Graphical User Interface,2023-01-28,2023-10-09,"77.240,69","0,15",email,B2C,promotion,"0,93","546.902,83",254.0,corta,"469.662,14",Sí,alto,medio
Total secondary attitude,2023-02-13,2024-03-01,"27.897,65","0,37",podcast,B2C,referral,"0,36","746.509,64",382.0,media,"718.611,99",Sí,bajo,alto
User-friendly coherent software,2023-04-01,2024-02-20,"81.083,98","0,20",podcast,B2C,paid,"0,90","95.920,24",325.0,media,"14.836,26",Sí,alto,bajo
Grass-roots global attitude,2022-11-20,2024-04-16,"81.664,50","0,13",social media,B2C,paid,"0,30","862.829,84",513.0,larga,"781.165,34",Sí,alto,alto
Decentralized incremental synergy,2023-05-18,2023-08-24,"78.742,39","0,81",social media,B2C,referral,"0,79","10.253,30",98.0,corta,"-68.489,09",No,alto,bajo
Virtual executive alliance,2022-10-13,2024-05-05,"1.580,69","0,46",podcast,B2B,organic,"0,17","238.785,82",570.0,larga,"237.205,13",Sí,bajo,bajo
Distributed content-based service-desk,2023-06-24,2024-05-10,"3.889,42","0,32",social media,B2C,promotion,"0,20","769.703,69",321.0,media,"765.814,27",Sí,bajo,alto
Customizable real-time toolset,2023-07-31,2024-05-07,"45.499,90","0,10",social media,B2C,organic,"0,19","292.766,77",281.0,media,"247.266,87",Sí,medio,bajo
Cross-group discrete implementation,2023-07-02,2024-03-10,"98.544,63","0,76",podcast,B2C,referral,"0,95","803.643,85",252.0,corta,"705.099,22",Sí,alto,alto
Secured object-oriented contingency,2023-01-22,2023-09-26,"96.004,64","0,60",podcast,B2B,promotion,"0,33","593.146,14",247.0,corta,"497.141,50",Sí,alto,medio
Re-contextualized needs-based function,2022-10-09,2023-10-23,"23.192,50","0,47",webinar,B2B,referral,"0,53","278.642,20",379.0,media,"255.449,70",Sí,bajo,bajo
Face-to-face optimal capacity,2022-08-28,2023-11-29,"28.757,86","0,31",email,B2C,referral,"0,30","215.374,16",458.0,larga,"186.616,30",Sí,bajo,bajo
Assimilated analyzing definition,2023-06-19,2023-12-02,"97.448,70","0,27",email,B2C,paid,"0,51","128.880,88",166.0,corta,"31.432,18",Sí,alto,bajo
Diverse homogeneous approach,2022-10-31,2024-04-18,"58.194,33","0,84",social media,B2C,organic,"0,58","209.309,17",535.0,larga,"151.114,84",Sí,medio,bajo
Persevering non-volatile utilization,2023-07-18,2024-02-12,"36.038,70","0,60",webinar,B2B,referral,"0,50","257.457,40",209.0,corta,"221.418,70",Sí,medio,bajo
Down-sized exuding website,2023-03-29,2023-12-29,"53.597,41","0,96",podcast,B2C,paid,"0,68","919.259,71",275.0,media,"865.662,30",Sí,medio,alto
Persevering zero administration interface,2023-03-27,2023-10-25,"1.052,57","0,37",email,B2C,promotion,"0,44","932.323,35",212.0,corta,"931.270,78",Sí,bajo,alto
Re-contextualized global projection,2023-04-28,2023-10-20,"81.795,53","0,90",webinar,B2C,organic,"0,98","708.435,72",175.0,corta,"626.640,19",Sí,alto,alto
Advanced optimizing portal,2023-02-08,2023-08-26,"97.675,33","0,55",email,B2B,organic,"0,77","961.689,96",199.0,corta,"864.014,63",Sí,alto,alto
Total client-driven functionalities,2023-03-26,2024-06-06,"32.997,59","0,19",podcast,B2B,paid,"0,21","144.974,37",438.0,media,"111.976,78",Sí,bajo,bajo
Grass-roots reciprocal core,2022-11-07,2024-01-19,"85.249,47","0,97",social media,B2B,paid,"0,90","34.642,19",438.0,media,"-50.607,28",No,alto,bajo
Self-enabling reciprocal algorithm,2022-11-01,2024-07-29,"8.645,67","0,12",email,B2B,paid,"0,37","961.551,85",636.0,larga,"952.906,18",Sí,bajo,alto
Fundamental holistic policy,2023-01-09,2024-07-29,"7.952,59","0,30",email,B2C,organic,"0,64","632.738,63",567.0,larga,"624.786,04",Sí,bajo,alto
Automated background intranet,2023-06-24,2023-12-01,"97.730,37","0,48",webinar,B2C,organic,"0,34","901.131,26",160.0,corta,"803.400,89",Sí,alto,alto
Diverse modular productivity,2023-01-23,2023-08-19,"6.626,65","0,28",email,B2C,referral,"0,78","650.555,67",208.0,corta,"643.929,02",Sí,bajo,alto
Down-sized attitude-oriented conglomeration,2022-08-23,2024-06-25,"59.892,40","0,40",email,B2C,referral,"0,37","912.250,59",672.0,larga,"852.358,19",Sí,alto,alto
Universal 24hour process improvement,2022-12-25,2024-07-02,"37.166,31","0,28",webinar,B2B,referral,"0,90","572.808,65",555.0,larga,"535.642,34",Sí,medio,medio
Fundamental optimal secured line,2023-07-26,2024-02-04,"56.570,94","0,91",podcast,B2C,referral,"0,96","83.447,66",193.0,corta,"26.876,72",Sí,medio,bajo
Reverse-engineered responsive migration,2023-02-10,2023-09-23,"91.764,90","0,34",webinar,B2C,organic,"0,61","889.379,44",225.0,corta,"797.614,54",Sí,alto,alto
Organized hybrid intranet,2023-06-03,2023-11-16,"91.247,27","0,70",social media,B2B,referral,"0,00","579.220,33",166.0,corta,"487.973,06",Sí,alto,medio
Streamlined intermediate core,2022-08-20,2024-02-18,"59.201,77","0,12",social media,B2B,promotion,"0,65","784.578,57",547.0,larga,"725.376,80",Sí,alto,alto
Re-contextualized regional pricing structure,2023-03-18,2024-06-29,"93.497,40","0,44",email,B2B,promotion,"0,37","58.328,00",469.0,larga,"-35.169,40",No,alto,bajo
Stand-alone client-driven challenge,2022-12-20,2023-10-06,"18.364,99","0,24",webinar,B2B,paid,"0,85","433.475,14",290.0,media,"415.110,15",Sí,bajo,medio
Reactive client-driven paradigm,2023-04-09,2023-10-02,"63.250,91","0,72",email,B2C,paid,"0,76","32.045,66",176.0,corta,"-31.205,25",No,alto,bajo
Object-based composite info-mediaries,2023-05-04,2023-12-19,"52.277,41","0,79",webinar,B2C,promotion,"0,84","838.402,57",229.0,corta,"786.125,16",Sí,medio,alto
User-centric discrete algorithm,2022-09-17,2024-07-25,"41.022,86","0,64",email,B2B,promotion,"0,53","553.643,50",677.0,larga,"512.620,64",Sí,medio,medio
Cloned discrete customer loyalty,2023-03-21,2023-10-11,"69.490,13","0,56",email,B2C,paid,"0,50","690.561,80",204.0,corta,"621.071,67",Sí,alto,alto
Function-based motivating algorithm,2022-11-18,2024-05-08,"16.205,28","0,11",email,B2B,referral,"0,86","632.469,27",537.0,larga,"616.263,99",Sí,bajo,alto
Devolved local Graphic Interface,2023-01-04,2024-06-06,"71.575,57","0,58",email,B2C,promotion,"0,81","295.020,93",519.0,larga,"223.445,36",Sí,alto,bajo
Synergized 24hour strategy,2022-09-13,2023-09-24,"78.034,30","0,90",podcast,B2B,paid,"0,36","718.941,54",376.0,media,"640.907,24",Sí,alto,alto
Function-based exuding strategy,2023-04-30,2024-02-25,"87.156,45","0,40",social media,B2C,referral,"0,99","95.274,70",301.0,media,"8.118,25",Sí,alto,bajo
Synergistic intermediate middleware,2023-07-22,2023-10-27,"28.984,24","0,10",webinar,B2C,paid,"0,93","224.410,83",97.0,corta,"195.426,59",Sí,bajo,bajo
Grass-roots 24/7 orchestration,2023-01-21,2024-06-25,"39.758,97","0,50",social media,B2C,promotion,"0,56","81.674,81",521.0,larga,"41.915,84",Sí,medio,bajo
Adaptive needs-based initiative,2023-06-04,2024-07-06,"46.618,30","0,72",email,B2C,organic,"0,23","854.112,83",398.0,media,"807.494,53",Sí,medio,alto
Automated 5thgeneration attitude,2023-02-05,2024-06-03,"96.380,65","0,99",email,B2B,referral,"0,18","35.031,43",484.0,larga,"-61.349,22",No,alto,bajo
Mandatory secondary access,2022-08-03,2023-11-04,"44.406,38","0,17",email,B2B,promotion,"0,21","438.753,14",458.0,larga,"394.346,76",Sí,medio,medio
Digitized analyzing paradigm,2022-09-28,2023-11-04,"31.010,80","0,50",email,B2B,referral,"0,32","759.445,20",402.0,media,"728.434,40",Sí,bajo,alto
Object-based intangible artificial intelligence,2023-03-27,2023-10-06,"19.288,56","0,50",webinar,B2B,promotion,"0,44","138.967,65",193.0,corta,"119.679,09",Sí,bajo,bajo
Proactive mission-critical structure,2022-11-18,2024-06-28,"54.317,78","0,90",social media,B2C,paid,"0,35","190.911,53",588.0,larga,"136.593,75",Sí,medio,bajo
Object-based grid-enabled model,2023-03-27,2023-08-30,"41.357,61","0,56",social media,B2B,paid,"0,65","869.961,43",156.0,corta,"828.603,82",Sí,medio,alto
Seamless executive standardization,2022-11-26,2024-06-12,"16.261,19","0,49",webinar,B2C,referral,"0,52","546.988,28",564.0,larga,"530.727,09",Sí,bajo,medio
De-engineered homogeneous array,2022-10-11,2024-06-07,"27.126,77","0,30",webinar,B2C,promotion,"0,79","725.838,96",605.0,larga,"698.712,19",Sí,bajo,alto
Inverse heuristic projection,2023-03-27,2023-12-10,"97.754,27","0,87",social media,B2C,organic,"0,56","368.164,25",258.0,corta,"270.409,98",Sí,alto,bajo
Diverse asymmetric orchestration,2023-02-22,2023-08-02,"86.507,56","0,39",email,B2C,paid,"0,40","468.536,15",161.0,corta,"382.028,59",Sí,alto,medio
Reactive zero tolerance core,2023-05-14,2024-07-29,"75.067,13","0,95",podcast,B2C,promotion,"0,44","967.358,10",442.0,media,"892.290,97",Sí,alto,alto
Reverse-engineered 24/7 help-desk,2023-01-19,2023-09-19,"46.839,92","0,65",social media,B2B,paid,"0,28","168.009,32",243.0,corta,"121.169,40",Sí,medio,bajo
Optimized 24hour budgetary management,2022-12-21,2024-02-25,"73.305,28","0,61",podcast,B2C,paid,"0,48","776.332,85",431.0,media,"703.027,57",Sí,alto,alto
Inverse heuristic encryption,2023-07-07,2024-05-15,"90.612,40","0,15",email,B2B,organic,"0,69","123.571,95",313.0,media,"32.959,55",Sí,alto,bajo
Realigned empowering initiative,2023-03-06,2024-03-31,"18.541,27","0,58",email,B2B,paid,"0,71","783.948,90",391.0,media,"765.407,63",Sí,bajo,alto
Reduced mobile matrices,2022-08-31,2024-02-17,"73.723,40","0,74",webinar,B2C,promotion,"0,21","62.558,41",535.0,larga,"-11.164,99",No,alto,bajo
Virtual motivating portal,2022-10-31,2024-07-28,"60.705,69","0,24",webinar,B2B,referral,"0,19","575.160,34",636.0,larga,"514.454,65",Sí,alto,medio
Customizable executive task-force,2022-08-31,2024-02-10,"14.777,50","0,00",email,B2C,promotion,"0,38","865.674,86",528.0,larga,"850.897,36",Sí,bajo,alto
Optional 3rdgeneration open architecture,2023-07-16,2024-07-24,"81.086,35","0,27",podcast,B2C,organic,"0,32","596.689,85",374.0,media,"515.603,50",Sí,alto,medio
Networked 6thgeneration neural-net,2022-11-08,2023-09-07,"39.534,14","0,94",social media,B2B,promotion,"0,49","460.143,50",303.0,media,"420.609,36",Sí,medio,medio
Open-architected empowering database,2023-05-25,2023-12-26,"63.786,13","0,21",podcast,B2C,organic,"0,43","91.479,12",215.0,corta,"27.692,99",Sí,alto,bajo
Multi-channeled human-resource infrastructure,2023-05-30,2024-04-04,"63.889,54","0,77",webinar,B2C,paid,"0,95","984.610,31",310.0,media,"920.720,77",Sí,alto,alto
Distributed intangible software,2022-11-13,2023-11-27,"14.378,29","0,25",social media,B2B,organic,"0,59","689.799,85",379.0,media,"675.421,56",Sí,bajo,alto
Switchable clear-thinking challenge,2022-08-23,2023-08-16,"57.635,88","0,60",webinar,B2B,organic,"0,16","192.521,65",358.0,media,"134.885,77",Sí,medio,bajo
Customizable 4thgeneration Internet solution,2022-11-14,2023-08-27,"78.080,70","0,86",social media,B2B,promotion,"0,60","373.181,87",286.0,media,"295.101,17",Sí,alto,bajo
Reduced zero tolerance policy,2023-01-28,2024-07-10,"95.263,32","0,40",podcast,B2B,promotion,"0,33","352.655,66",529.0,larga,"257.392,34",Sí,alto,bajo
Profound real-time archive,2023-02-23,2023-12-02,"54.198,81","0,73",webinar,B2C,referral,"0,40","784.870,79",282.0,media,"730.671,98",Sí,medio,alto
Inverse static support,2022-11-28,2024-03-22,"65.189,68","0,21",podcast,B2C,referral,"0,50","816.329,80",480.0,larga,"751.140,12",Sí,alto,alto
Total attitude-oriented support,2023-01-08,2024-06-29,"85.772,21","0,98",podcast,B2B,organic,"0,86","755.740,83",538.0,larga,"669.968,62",Sí,alto,alto
Persistent tangible methodology,2023-02-17,2024-07-25,"85.190,24","0,64",webinar,B2C,promotion,"0,48","900.744,98",524.0,larga,"815.554,74",Sí,alto,alto
Robust bi-directional hub,2022-11-01,2023-08-20,"87.931,71","0,56",email,B2C,referral,"0,77","288.613,62",292.0,media,"200.681,91",Sí,alto,bajo
Virtual content-based standardization,2022-08-23,2024-04-24,"34.658,91","0,27",social media,B2B,organic,"0,59","596.524,13",610.0,larga,"561.865,22",Sí,bajo,medio
Programmable modular architecture,2023-01-12,2024-01-28,"57.845,80","0,90",podcast,B2C,paid,"0,70","267.847,44",381.0,media,"210.001,64",Sí,medio,bajo
Open-source zero administration extranet,2023-06-13,2024-01-13,"65.653,98","0,47",social media,B2C,paid,"0,96","320.630,54",214.0,corta,"254.976,56",Sí,alto,bajo
Total asymmetric emulation,2023-03-30,2024-03-15,"69.996,24","0,77",social media,B2C,paid,"0,86","936.284,24",351.0,media,"866.288,00",Sí,alto,alto
Streamlined attitude-oriented adapter,2023-07-03,2024-07-18,"2.554,18","0,46",social media,B2B,referral,"0,33","575.092,19",381.0,media,"572.538,01",Sí,bajo,medio
Operative demand-driven open system,2022-10-04,2023-10-08,"11.294,95","0,49",email,B2C,paid,"0,95","390.218,59",369.0,media,"378.923,64",Sí,bajo,medio
Organic impactful approach,2023-07-08,2023-11-26,"15.971,25","0,94",email,B2B,organic,"0,85","296.134,80",141.0,corta,"280.163,55",Sí,bajo,bajo
Cloned leadingedge moderator,2022-11-11,2024-04-30,"36.838,48","0,30",email,B2B,referral,"0,72","788.871,83",536.0,larga,"752.033,35",Sí,medio,alto
Versatile well-modulated ability,2023-05-28,2024-03-21,"24.501,77","0,93",podcast,B2B,referral,"0,87","788.670,60",298.0,media,"764.168,83",Sí,bajo,alto
Self-enabling zero tolerance synergy,2023-06-01,2024-05-07,"49.505,24","0,48",webinar,B2B,promotion,"0,87","703.788,18",341.0,media,"654.282,94",Sí,medio,alto
Polarized systematic parallelism,2023-01-03,2024-04-25,"5.479,95","0,00",social media,B2B,organic,"0,62","775.127,75",478.0,larga,"769.647,80",Sí,bajo,alto
Sharable object-oriented algorithm,2023-01-26,2023-11-28,"13.686,90","0,26",podcast,B2B,referral,"0,68","298.349,71",306.0,media,"284.662,81",Sí,bajo,bajo
Progressive systematic architecture,2022-08-15,2024-01-11,"7.306,71","0,69",webinar,B2B,paid,"0,97","541.005,28",514.0,larga,"533.698,57",Sí,bajo,medio
Decentralized bi-directional forecast,2023-02-03,2023-11-18,"96.168,80","0,74",email,B2C,promotion,"0,26","138.002,71",288.0,media,"41.833,91",Sí,alto,bajo
Multi-lateral coherent hardware,2023-03-20,2023-12-20,"80.398,70","0,68",social media,B2B,paid,"0,77","556.040,51",275.0,media,"475.641,81",Sí,alto,medio
Digitized fresh-thinking toolset,2023-07-23,2024-03-20,"7.171,11","0,23",podcast,B2C,referral,"0,58","244.491,62",241.0,corta,"237.320,51",Sí,bajo,bajo
Persistent fresh-thinking parallelism,2022-09-26,2024-07-24,"40.458,71","0,47",email,B2B,organic,"0,60","748.950,16",667.0,larga,"708.491,45",Sí,medio,alto
Up-sized discrete superstructure,2023-04-08,2024-02-16,"85.035,31","0,35",webinar,B2C,referral,"0,69","583.929,45",314.0,media,"498.894,14",Sí,alto,medio
Implemented next generation productivity,2022-08-16,2023-12-12,"28.881,52","0,83",email,B2B,referral,"0,74","887.826,15",483.0,larga,"858.944,63",Sí,bajo,alto
Persistent radical approach,2022-10-23,2023-08-15,"99.891,35","0,80",email,B2C,promotion,"0,91","8.272,50",296.0,media,"-91.618,85",No,alto,bajo
Robust dynamic circuit,2022-10-04,2024-04-29,"35.936,70","0,37",webinar,B2B,referral,"0,13","575.711,50",573.0,larga,"539.774,80",Sí,medio,medio
